# {
#     "changing_threshold": 0.1,
#     "command": "/SAN/vyplab/alb_projects/pipelines/splicing/env/bin/voila tsv /SAN/vyplab/first_weeks/TDP_CHX_CLONES_GLIA/majiq/builder/splicegraph.sql /SAN/vyplab/first_weeks/TDP_CHX_CLONES_GLIA/majiq/delta_psi/Control1-TDP43KD1.deltapsi.voila -f /SAN/vyplab/first_weeks/TDP_CHX_CLONES_GLIA/majiq/delta_psi_voila_tsv/Control1-TDP43KD1.psi.tsv --threshold 0.1",
#     "group_sizes": {
#         "Control1": 4,
#         "TDP43KD1": 4
#     },
#     "non_changing_threshold": 0.05,
#     "voila_version": "2.3"
# }
gene_name	gene_id	lsv_id	mean_dpsi_per_lsv_junction	probability_changing	probability_non_changing	Control1_mean_psi	TDP43KD1_mean_psi	lsv_type	num_junctions	num_exons	de_novo_junctions	seqid	strand	junctions_coords	exons_coords	ir_coords	ucsc_lsv_link
REXO5	ENSG00000005189.20	ENSG00000005189.20:s:20840331-20840468	0.1040;-0.1040	5.032e-01;5.032e-01	6.290e-02;6.290e-02	0.5199;0.4801	0.6488;0.3512	s|1e1.1o1|1e2.1o1	2	3	0;0	chr16	+	20840468-20843934;20840468-20844629	20840331-20840468;20843934-20844026;20844629-20844845		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr16%3A20844845-20840331
REXO5	ENSG00000005189.20	ENSG00000005189.20:t:20806952-20807091	0.0000;0.0814;-0.1201;0.0005;0.0206	2.733e-09;3.997e-01;5.916e-01;5.854e-05;6.067e-02	1.000e+00;1.029e-01;4.603e-02;9.643e-01;4.334e-01	0.0012;0.6266;0.2999;0.0140;0.0461	0.0015;0.7566;0.1621;0.0167;0.0760	t|1e1.1o1|1e2.1o1|1e3.1o2|1e3.2o2|1e4.1o1	5	5	0;0;0;0;0	chr16	+	20806490-20806952;20806705-20806952;20806721-20806952;20806735-20806952;20806817-20806952	20806429-20806490;20806496-20806705;20806708-20806735;20806757-20806817;20806952-20807091		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr16%3A20807091-20806429
REXO5	ENSG00000005189.20	ENSG00000005189.20:t:20844629-20844845	-0.1252;0.1252	5.893e-01;5.893e-01	4.241e-02;4.241e-02	0.4642;0.5358	0.3147;0.6853	t|1e1.1o1|1e2.1o1	2	3	0;0	chr16	+	20840468-20844629;20844026-20844629	20840331-20840468;20843934-20844026;20844629-20844845		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr16%3A20844845-20840331
SPPL2B	ENSG00000005206.17	ENSG00000005206.17:s:2340898-2342503	0.1819;-0.1819	8.402e-01;8.402e-01	9.601e-03;9.601e-03	0.1695;0.8305	0.3652;0.6348	s|1e1.1o1|i	2	2	0;1	chr19	+	2341014-2343211;2342504-2342721	2340898-2342503;2342722-2343292	2342504-2342721	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A2343292-2340898
COPZ2	ENSG00000005243.10	ENSG00000005243.10:s:48032686-48032741	0.1032;-0.1032	4.928e-01;4.928e-01	6.604e-02;6.604e-02	0.8012;0.1988	0.9344;0.0656	s|1e1.1o1|1e2.1o1	2	3	0;0	chr17	-	48032233-48032686;48029176-48032686	48029125-48029425;48031646-48032233;48032686-48032741		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A48032741-48029125
COPZ2	ENSG00000005243.10	ENSG00000005243.10:s:48033863-48033872	-0.0434;-0.0616;0.0027;0.1061	2.504e-01;2.426e-01;2.373e-03;4.214e-01	1.526e-01;1.977e-01;8.846e-01;7.027e-02	0.8732;0.1071;0.0041;0.0192	0.8546;0.0043;0.0243;0.1116	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	4	5	0;0;1;1	chr17	-	48033302-48033863;48032741-48033863;48032233-48033863;48029176-48033863	48029125-48029425;48031646-48032233;48032686-48032741;48033211-48033302;48033863-48033872		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A48033872-48029125
COPZ2	ENSG00000005243.10	ENSG00000005243.10:t:48029125-48029425	0.0004;0.0375;-0.1110;0.0409	2.336e-05;1.736e-01;5.697e-01;2.125e-01	9.819e-01;2.543e-01;5.405e-02;2.151e-01	0.0034;0.0144;0.1713;0.8174	0.0145;0.0512;0.0347;0.8903	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	4	5	0;1;0;0	chr17	-	48029176-48036851;48029176-48033863;48029176-48032686;48029176-48032156	48029125-48029425;48031646-48032233;48032686-48032741;48033863-48033872;48036851-48036925		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A48036925-48029125
MSL3	ENSG00000005302.19	ENSG00000005302.19:s:11765193-11766267	0.0000;0.0000;0.0000;-0.1263;-0.0001;0.0000;0.1365	6.690e-21;6.690e-21;6.690e-21;6.606e-01;1.348e-06;6.690e-21;7.195e-01	1.000e+00;1.000e+00;1.000e+00;3.656e-02;9.850e-01;1.000e+00;2.661e-02	0.0006;0.0006;0.0006;0.8523;0.0153;0.0006;0.1281	0.0007;0.0007;0.0007;0.7039;0.0061;0.0007;0.2859	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o3|1e4.2o3|1e5.1o1|i	7	6	0;0;0;0;0;0;0	chrX	+	11765729-11766961;11765729-11767145;11765729-11767819;11765729-11768573;11765729-11768575;11765729-11772156;11766268-11766960	11765193-11766267;11766961-11767052;11767145-11767286;11767819-11767986;11768573-11769102;11772156-11772255	11766268-11766960	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chrX%3A11772255-11765193
ABCB4	ENSG00000005471.19	ENSG00000005471.19:s:87408037-87408234	-0.1607;0.1607	6.842e-01;6.842e-01	2.208e-02;2.208e-02	0.3552;0.6448	0.1494;0.8506	s|1e1.1o2|1e1.2o2	2	2	0;0	chr7	-	87406515-87408037;87406494-87408037	87405920-87406515;87408037-87408234		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A87408234-87405920
ABCB4	ENSG00000005471.19	ENSG00000005471.19:s:87475386-87475472	0.1272;-0.1272	5.542e-01;5.542e-01	3.938e-02;3.938e-02	0.5372;0.4628	0.7047;0.2953	s|1e1.1o1|i	2	2	0;1	chr7	-	87472675-87475386;87472676-87475385	87472621-87472675;87475386-87475472	87472676-87475385	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A87475472-87472621
MYCBP2	ENSG00000005810.19	ENSG00000005810.19:s:77121225-77121495	0.0102;-0.1051;-0.0001;0.0866	2.912e-02;5.425e-01;1.030e-07;4.364e-01	5.543e-01;5.922e-02;9.889e-01;9.399e-02	0.1726;0.4699;0.0215;0.3377	0.1919;0.3440;0.0151;0.4496	s|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1	4	4	0;0;0;0	chr13	-	77118519-77121373;77118495-77121373;77103310-77121373;77099013-77121373	77097370-77099013;77103209-77103310;77118340-77118519;77121225-77121495		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr13%3A77121495-77097370
ITGA3	ENSG00000005884.18	ENSG00000005884.18:s:50080262-50080375	0.1959;-0.1959	9.001e-01;9.001e-01	4.172e-03;4.172e-03	0.0400;0.9600	0.2484;0.7516	s|1e1.1o1|1e2.1o1	2	3	0;0	chr17	+	50080375-50081097;50080375-50081310	50080262-50080375;50081097-50081193;50081310-50081408		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A50081408-50080262
CACNA1G	ENSG00000006283.18	ENSG00000006283.18:s:50606900-50607510	-0.1171;0.1171	5.133e-01;5.133e-01	4.956e-02;4.956e-02	0.9559;0.0441	0.7870;0.2130	s|1e1.1o2|1e1.2o2	2	2	0;0	chr17	+	50606989-50607827;50606989-50607929	50606900-50607510;50607827-50608040		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A50608040-50606900
GTF2IRD1	ENSG00000006704.11	ENSG00000006704.11:s:74555174-74555223	-0.0566;0.1001;-0.0305	2.284e-01;5.134e-01;5.691e-03	2.058e-01;7.162e-02;5.364e-01	0.3618;0.5766;0.0635	0.2818;0.6951;0.0256	s|1e1.1o2|1e1.2o2|1e2.1o1	3	3	0;0;0	chr7	+	74555223-74555393;74555223-74555438;74555223-74557639	74555174-74555223;74555393-74555494;74557639-74557722		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A74557722-74555174
ST7L	ENSG00000007341.19	ENSG00000007341.19:s:112597971-112598086	0.1382;-0.0468;-0.0281;-0.0014	7.377e-01;1.525e-01;4.889e-02;2.341e-04	2.256e-02;2.807e-01;4.580e-01;9.430e-01	0.8200;0.0796;0.0697;0.0181	0.9778;0.0121;0.0067;0.0025	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	4	5	0;1;1;1	chr1	-	112591603-112597971;112584126-112597971;112582472-112597971;112550693-112597971	112550601-112550693;112582375-112582472;112583972-112584126;112591482-112591603;112597971-112598086		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A112598086-112550601
ST7L	ENSG00000007341.19	ENSG00000007341.19:t:112550601-112550693	-0.0049;-0.1237;0.1478	4.365e-03;5.844e-01;6.621e-01	8.096e-01;4.239e-02;2.712e-02	0.0315;0.2699;0.6930	0.0071;0.0888;0.9040	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	1;0;0	chr1	-	112550693-112597971;112550693-112576986;112550693-112555868	112550601-112550693;112555868-112556018;112576986-112577088;112597971-112598086		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A112598086-112550601
LUC7L	ENSG00000007392.17	ENSG00000007392.17:s:229279-229463	0.1832;-0.1856;0.0000	9.619e-01;9.656e-01;6.845e-21	5.913e-04;5.261e-04;1.000e+00	0.1212;0.8782;0.0006	0.3071;0.6910;0.0029	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	chr16	-	228402-229279;227336-229279;208188-229279	208078-208508;227242-227686;227987-228402;229279-229463		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr16%3A229463-208078
LUC7L	ENSG00000007392.17	ENSG00000007392.17:t:227242-227686	-0.1659;0.0000;0.0197;0.0000;0.1243	8.995e-01;6.690e-21;2.530e-02;6.690e-21;6.777e-01	5.463e-03;1.000e+00;5.432e-01;1.000e+00;2.864e-02	0.7224;0.0003;0.0619;0.0003;0.2097	0.5497;0.0004;0.1040;0.0022;0.3400	t|1e1.1o1|1e2.1o2|1e3.1o2|1e3.2o2|i	5	4	0;0;0;0;0	chr16	-	227336-229279;227336-228701;227336-228333;227336-227987;227687-227986	227242-227686;227987-228402;228489-228722;229279-229463	227687-227986	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr16%3A229463-227242
CACNA2D2	ENSG00000007402.12	ENSG00000007402.12:s:50374737-50374813	0.1736;-0.1725;-0.0000	9.588e-01;9.470e-01;6.693e-21	6.166e-04;1.509e-04;9.996e-01	0.2589;0.7148;0.0279	0.4348;0.5395;0.0249	s|1e1.1o1|1e2.1o1|i	3	3	0;0;1	chr3	-	50373085-50374737;50370380-50374737;50373086-50374736	50370320-50370380;50373065-50373085;50374737-50374813	50373086-50374736	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A50374813-50370320
CACNA2D2	ENSG00000007402.12	ENSG00000007402.12:t:50370320-50370380	-0.1935;0.2052;-0.0055	9.901e-01;9.969e-01;1.726e-04	4.418e-06;2.317e-06;8.066e-01	0.6524;0.2797;0.0680	0.4554;0.4868;0.0567	t|1e1.1o1|1e2.1o1|i	3	3	0;0;1	chr3	-	50370380-50374737;50370380-50373065;50370381-50373064	50370320-50370380;50373065-50373085;50374737-50374813	50370381-50373064	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A50374813-50370320
TEAD3	ENSG00000007866.22	ENSG00000007866.22:s:35484560-35484624	0.1068;-0.0777;-0.0187;-0.0000	5.324e-01;3.609e-01;8.928e-02;8.613e-07	6.209e-02;1.294e-01;3.861e-01;9.992e-01	0.7637;0.1298;0.1020;0.0030	0.9019;0.0169;0.0747;0.0020	s|1e1.1o1|1e2.1o1|1e3.1o1|i	4	4	0;0;1;1	chr6	-	35480374-35484560;35480122-35484560;35479316-35484560;35480375-35484559	35479305-35479316;35480060-35480122;35480312-35480374;35484560-35484624	35480375-35484559	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr6%3A35484624-35479305
TEAD3	ENSG00000007866.22	ENSG00000007866.22:t:35479305-35479316	-0.0000;-0.0338;0.2126;-0.1494	4.485e-06;1.483e-01;8.947e-01;7.578e-01	9.983e-01;2.845e-01;4.609e-03;1.866e-02	0.0035;0.1274;0.6808;0.1885	0.0020;0.0757;0.9146;0.0098	t|1e1.2o2|1e2.1o1|1e3.1o1|1e4.1o1	4	5	0;1;0;0	chr6	-	35479316-35486461;35479316-35484560;35479316-35480312;35479316-35480060	35479305-35479316;35480060-35480122;35480312-35480374;35484560-35484624;35486461-35486711		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr6%3A35486711-35479305
ADAM22	ENSG00000008277.15	ENSG00000008277.15:s:88181958-88183554	-0.0049;0.0000;0.0000;-0.0632;0.1145;0.0000;0.0000;-0.0493	1.193e-20;6.845e-21;6.845e-21;1.850e-01;6.281e-01;6.845e-21;6.845e-21;3.311e-02	6.849e-01;1.000e+00;1.000e+00;2.432e-01;1.971e-02;1.000e+00;1.000e+00;4.316e-01	0.0519;0.0001;0.0001;0.3875;0.4668;0.0001;0.0033;0.0902	0.0491;0.0000;0.0049;0.3167;0.5871;0.0010;0.0007;0.0402	s|1e1.1o1|1e2.1o2|1e2.2o2|1e3.1o1|1e4.1o3|1e4.2o3|1e4.3o3|1e5.1o3	8	6	0;0;1;0;0;1;1;1	chr7	+	88182024-88184292;88182024-88185830;88182024-88186181;88182024-88186615;88182024-88193116;88182024-88193170;88182024-88193173;88182024-88196471	88181958-88183554;88184292-88184402;88185830-88186422;88186615-88186701;88193116-88193260;88196471-88202889		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A88202889-88181958
CELSR3	ENSG00000008300.17	ENSG00000008300.17:s:48650480-48650581	0.4788;-0.5492;0.0504	1.000e+00;1.000e+00;7.019e-02	2.331e-18;0.000e+00;3.819e-01	0.2846;0.7029;0.0139	0.7492;0.1644;0.0824	s|1e1.1o1|1e2.1o1|i	3	3	1;0;1	chr3	-	48650289-48650480;48649215-48650480;48650290-48650479	48649121-48649215;48650268-48650289;48650480-48650581	48650290-48650479	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A48650581-48649121
CELSR3	ENSG00000008300.17	ENSG00000008300.17:t:48649121-48649215	-0.5099;0.3821;0.0232;0.0000;0.0712	1.000e+00;1.000e+00;2.206e-02;6.690e-21;2.427e-01	0.000e+00;5.125e-10;5.235e-01;1.000e+00;1.983e-01	0.7187;0.2396;0.0371;0.0006;0.0132	0.2086;0.6218;0.0699;0.0008;0.1062	t|1e1.1o1|1e2.1o2|1e2.2o2|1e3.1o1|i	5	4	0;1;1;1;1	chr3	-	48649215-48650480;48649215-48650275;48649215-48650268;48649215-48649534;48649216-48649533	48649121-48649215;48649534-48649717;48650268-48650289;48650480-48650581	48649216-48649533	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A48650581-48649121
NFIX	ENSG00000008441.18	ENSG00000008441.18:t:13024939-13025552	-0.0128;0.0000;-0.3536;0.0000;0.0001;0.0000;0.1876;0.1245	6.023e-02;6.845e-21;9.997e-01;6.845e-21;1.152e-06;6.845e-21;9.529e-01;6.750e-01	4.511e-01;1.000e+00;1.139e-06;1.000e+00;9.973e-01;1.000e+00;5.994e-04;2.936e-02	0.1748;0.0007;0.8210;0.0007;0.0007;0.0007;0.0007;0.0007	0.1469;0.0008;0.4726;0.0008;0.0074;0.0008;0.2215;0.1492	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o5|1e4.2o5|1e4.3o5|1e4.4o5|1e4.5o5	8	5	0;0;0;0;0;0;0;0	chr19	+	12995864-13025021;13012266-13025021;13024034-13025021;13024680-13025021;13024682-13025021;13024684-13025021;13024719-13025021;13024723-13025021	12995475-12995864;13012188-13012266;13023991-13024034;13024535-13024723;13024939-13025552		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A13025552-12995475
PKD1	ENSG00000008710.20	ENSG00000008710.20:s:2097852-2098441	0.1420;-0.1420	7.333e-01;7.333e-01	2.298e-02;2.298e-02	0.5980;0.4020	0.7557;0.2443	s|1e1.1o2|1e1.2o2	2	2	0;0	chr16	-	2097780-2097868;2097777-2097868	2097728-2097780;2097852-2098441		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr16%3A2098441-2097728
PKD1	ENSG00000008710.20	ENSG00000008710.20:s:2105865-2106024	0.0059;-0.0054;-0.0547;-0.0442;0.1434	2.301e-03;4.006e-04;2.170e-01;6.753e-02;7.393e-01	7.127e-01;8.209e-01;2.146e-01;3.897e-01;2.216e-02	0.0332;0.0394;0.1531;0.0787;0.6938	0.0422;0.0175;0.0800;0.0047;0.8543	s|1e1.1o5|1e1.2o5|1e1.3o5|1e1.4o5|1e1.5o5	5	2	1;0;0;1;0	chr16	-	2105710-2105865;2105707-2105865;2105662-2105865;2105615-2105865;2105474-2105865	2105322-2105710;2105865-2106024		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr16%3A2106024-2105322
DYRK4	ENSG00000010219.13	ENSG00000010219.13:s:4604897-4605086	-0.0000;-0.1171;0.1176	6.845e-21;5.982e-01;6.010e-01	1.000e+00;4.739e-02;4.683e-02	0.0013;0.3563;0.6425	0.0008;0.2277;0.7715	s|1e1.1o2|1e1.2o2|1e2.1o1	3	3	1;0;0	chr12	+	4605086-4607236;4605086-4607327;4605086-4610155	4604897-4605086;4607236-4607389;4609939-4610523		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A4610523-4604897
DYRK4	ENSG00000010219.13	ENSG00000010219.13:t:4609939-4610523	0.1839;-0.1796;-0.0000;-0.0003	9.297e-01;9.133e-01;6.690e-21;7.112e-07	2.723e-03;4.247e-03;1.000e+00;9.666e-01	0.5386;0.4323;0.0070;0.0245	0.7312;0.2401;0.0006;0.0255	t|1e1.1o1|1e2.1o1|1e3.1o1|i	4	4	0;0;1;1	chr12	+	4605086-4610155;4607387-4610155;4609548-4610155;4609549-4609938	4604897-4605086;4607236-4607389;4609463-4609548;4609939-4610523	4609549-4609938	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A4610523-4604897
ZNF207	ENSG00000010244.19	ENSG00000010244.19:s:32369599-32370451	-0.0535;0.1080;-0.0369;0.0039	2.053e-01;5.238e-01;1.021e-01;1.153e-01	2.258e-01;5.887e-02;3.513e-01;3.342e-01	0.1046;0.1492;0.0768;0.6785	0.0271;0.2940;0.0032;0.6766	s|1e1.1o1|2e1.1o1|3e1.1o1|i	4	2	0;0;1;0	chr17	+	32369745-32373399;32369782-32373399;32370082-32373399;32370452-32372894	32369599-32370451;32372895-32373457	32370452-32372894	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A32373457-32369599
LRRC23	ENSG00000010626.15	ENSG00000010626.15:s:6909890-6910026	0.1426;-0.1289;-0.0085	6.073e-01;5.653e-01;3.784e-02	3.179e-02;4.030e-02;5.173e-01	0.4708;0.4631;0.0864	0.6582;0.2853;0.0643	s|1e1.1o1|1e2.1o1|i	3	3	0;0;1	chr12	+	6910026-6912730;6910026-6913891;6910027-6912729	6909890-6910026;6912730-6913027;6913891-6914241	6910027-6912729	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A6914241-6909890
