gene_name,gene_id,lsv_id,mean_dpsi_per_lsv_junction,probability_changing,probability_non_changing,Control10_mean_psi,TDP43KD10_mean_psi,lsv_type,num_junctions,num_exons,de_novo_junctions,seqid,strand,junctions_coords,exons_coords,ir_coords,ucsc_lsv_link
COPZ2,ENSG00000005243.10,ENSG00000005243.10:s:48029125-48029425,0.0037;-0.0948;0.1040;-0.0024,4.537e-03;4.613e-01;5.288e-01;1.219e-03,8.106e-01;8.671e-02;6.279e-02;8.985e-01,0.0145;0.1424;0.8121;0.0259,0.0247;0.0179;0.9519;0.0035,s|1e1.1o1|1e2.1o1|2e1.1o1|2e2.1o1,4,3,1;1;0;0,chr17,-,48028510-48029137;48026475-48029137;48028510-48029125;48026475-48029125,48026167-48026475;48028472-48028560;48029125-48029425,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A48029425-48026167
COPZ2,ENSG00000005243.10,ENSG00000005243.10:t:48026167-48026475,-0.1060;-0.0031;-0.0376;0.1762,5.292e-01;1.820e-03;2.570e-01;6.834e-01,6.401e-02;8.719e-01;1.634e-01;1.829e-02,0.1551;0.0273;0.3006;0.5151,0.0205;0.0042;0.2384;0.7424,t|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1,4,4,1;0;0;0,chr17,-,48026475-48029137;48026475-48029125;48026475-48028472;48026475-48027676,48026167-48026475;48027676-48027789;48028472-48028560;48029125-48029425,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A48029425-48026167
GCFC2,ENSG00000005436.14,ENSG00000005436.14:t:75662705-75664783,0.0008;0.1083;-0.1107,6.826e-04;5.240e-01;5.380e-01,8.708e-01;5.771e-02;5.454e-02,0.0272;0.4273;0.5488,0.0280;0.5753;0.4055,t|1e1.1o1|1e2.1o1|i,3,3,0;0;1,chr2,-,75664783-75670138;75664783-75665929;75664784-75665928,75662705-75664783;75665929-75666053;75670138-75670284,75664784-75665928,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr2%3A75670284-75662705
MYCBP2,ENSG00000005810.19,ENSG00000005810.19:s:77121225-77121495,-0.0057;-0.0997;0.0000;0.1086,1.006e-02;5.055e-01;1.225e-09;5.693e-01,6.676e-01;7.219e-02;9.991e-01;5.648e-02,0.1325;0.5600;0.0067;0.2990,0.1204;0.4446;0.0120;0.4253,s|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1,4,4,0;0;0;0,chr13,-,77118519-77121373;77118495-77121373;77103310-77121373;77099013-77121373,77097370-77099013;77103209-77103310;77118340-77118519;77121225-77121495,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr13%3A77121495-77097370
MYCBP2,ENSG00000005810.19,ENSG00000005810.19:s:77139196-77139336,0.1020;-0.0049;0.0081;-0.1094,5.308e-01;7.037e-02;2.996e-03;5.673e-01,6.506e-02;4.280e-01;6.833e-01;5.485e-02,0.1830;0.4976;0.0330;0.2780,0.3063;0.4835;0.0524;0.1575,s|1e1.1o1|1e2.1o2|1e2.2o2|1e3.1o1,4,4,0;0;1;0,chr13,-,77129230-77139196;77126542-77139196;77126485-77139196;77125468-77139196,77125336-77125468;77126318-77126542;77129156-77129230;77139196-77139336,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr13%3A77139336-77125336
CACNA1G,ENSG00000006283.18,ENSG00000006283.18:t:50615361-50615512,0.2130;0.0000;-0.1849;-0.0030,8.276e-01;8.364e-06;7.512e-01;8.950e-04,8.024e-03;9.976e-01;1.422e-02;8.767e-01,0.2005;0.0021;0.7684;0.0264,0.4550;0.0038;0.5366;0.0038,t|1e1.1o2|1e1.2o2|1e2.1o1|i,4,3,0;0;0;1,chr17,+,50608019-50615361;50608040-50615361;50609935-50615361;50609936-50615360,50607827-50608040;50609882-50609935;50615361-50615512,50609936-50615360,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A50615512-50607827
CDK11A,ENSG00000008128.23,ENSG00000008128.23:s:1719166-1719455,0.0491;0.1021;-0.1813,2.579e-01;5.087e-01;8.164e-01,1.709e-01;7.132e-02;1.092e-02,0.4291;0.0020;0.5689,0.5058;0.1377;0.3589,s|1e1.1o1|1e2.1o1|2e1.1o1,3,3,0;1;0,chr1,-,1716478-1719358;1709640-1719358;1716478-1719328,1709479-1709640;1716346-1716478;1719166-1719455,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A1719455-1709479
CDK11A,ENSG00000008128.23,ENSG00000008128.23:t:1716346-1716478,0.1178;-0.1182;0.0000,5.662e-01;5.682e-01;5.103e-09,4.677e-02;4.633e-02;9.999e-01,0.4291;0.5689;0.0020,0.5800;0.4173;0.0024,t|1e1.1o2|1e1.2o2|1e2.1o1,3,3,0;0;1,chr1,-,1716478-1719358;1716478-1719328;1716478-1716689,1716346-1716478;1716689-na;1719166-1719455,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A1719455-1716346
ADAM22,ENSG00000008277.15,ENSG00000008277.15:t:87971294-87971375,-0.1137;0.1137,5.347e-01;5.347e-01,5.171e-02;5.171e-02,0.7150;0.2850,0.5641;0.4359,t|1e1.1o1|1e2.1o1,2,3,1;1,chr7,+,87935186-87971294;87964684-87971294,87934756-87935186;87964634-87964684;87971294-87971375,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A87971375-87934756
CYB561,ENSG00000008283.16,ENSG00000008283.16:t:63440727-63440918,-0.0007;0.1269;-0.1182,9.025e-04;6.062e-01;5.631e-01,8.827e-01;3.965e-02;4.689e-02,0.0217;0.1337;0.8388,0.0135;0.3045;0.6788,t|1e1.1o1|1e2.1o1|i,3,3,1;1;1,chr17,-,63440918-63441540;63440918-63441010;63440919-63442772,63440727-63440918;63441010-na;63441540-na,63440919-63442772,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A63441550-63440727
CELSR3,ENSG00000008300.17,ENSG00000008300.17:s:48650268-48650289,0.0476;-0.1508;0.0000;0.0103;0.0395,1.055e-01;7.702e-01;9.837e-08;1.136e-02;1.497e-01,3.376e-01;1.799e-02;9.981e-01;6.099e-01;2.844e-01,0.0016;0.9058;0.0016;0.0423;0.0452,0.0801;0.7484;0.0110;0.0587;0.1016,s|1e1.1o1|1e2.1o1|2e1.1o1|2e2.1o1|i,5,3,1;1;1;1;1,chr3,-,48649717-48650275;48649215-48650275;48649717-48650268;48649215-48650268;48649718-48650267,48649121-48649215;48649534-48649717;48650268-48650289,48649718-48650267,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A48650289-48649121
CELSR3,ENSG00000008300.17,ENSG00000008300.17:s:48650480-48650581,0.3573;-0.4167;0.0355,1.000e+00;1.000e+00;2.374e-02,1.028e-10;1.465e-13;4.793e-01,0.3559;0.6323;0.0127,0.7067;0.2232;0.0695,s|1e1.1o1|1e2.1o1|i,3,3,1;0;1,chr3,-,48650289-48650480;48649215-48650480;48650290-48650479,48649121-48649215;48650268-48650289;48650480-48650581,48650290-48650479,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A48650581-48649121
CELSR3,ENSG00000008300.17,ENSG00000008300.17:t:48649121-48649215,-0.4305;0.3078;0.0117;0.0000;0.0495,1.000e+00;9.997e-01;1.320e-03;6.577e-21;9.049e-02,2.887e-15;4.478e-07;6.919e-01;9.997e-01;3.575e-01,0.6916;0.2814;0.0127;0.0005;0.0136,0.2751;0.5892;0.0470;0.0119;0.0811,t|1e1.1o1|1e2.1o2|1e2.2o2|1e3.1o1|i,5,4,0;1;1;1;1,chr3,-,48649215-48650480;48649215-48650275;48649215-48650268;48649215-48649534;48649216-48649533,48649121-48649215;48649534-48649717;48650268-48650289;48650480-48650581,48649216-48649533,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A48650581-48649121
NFIX,ENSG00000008441.18,ENSG00000008441.18:s:13023991-13024034,0.1427;-0.1427,7.742e-01;7.742e-01,1.233e-02;1.233e-02,0.0024;0.9976,0.1718;0.8282,s|1e1.1o1|1e2.1o1,2,3,1;0,chr19,+,13024034-13024535;13024034-13025021,13023991-13024034;13024535-13024723;13024939-13025552,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A13025552-13023991
NFIX,ENSG00000008441.18,ENSG00000008441.18:t:13024939-13025552,0.0014;0.0000;-0.1558;0.0000;0.0000;0.0000;0.0920;0.0117,5.944e-02;6.708e-21;7.576e-01;6.708e-21;6.708e-21;6.708e-21;4.287e-01;6.482e-03,4.562e-01;1.000e+00;1.836e-02;1.000e+00;1.000e+00;1.000e+00;9.715e-02;6.826e-01,0.1993;0.0005;0.7980;0.0005;0.0005;0.0005;0.0005;0.0005,0.1936;0.0008;0.6339;0.0008;0.0008;0.0008;0.1223;0.0437,t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o5|1e4.2o5|1e4.3o5|1e4.4o5|1e4.5o5,8,5,0;0;0;0;0;0;0;0,chr19,+,12995864-13025021;13012266-13025021;13024034-13025021;13024680-13025021;13024682-13025021;13024684-13025021;13024719-13025021;13024723-13025021,12995475-12995864;13012188-13012266;13023991-13024034;13024535-13024723;13024939-13025552,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A13025552-12995475
REV3L,ENSG00000009413.16,ENSG00000009413.16:s:111482750-111483229,0.1315;-0.1315,6.011e-01;6.011e-01,3.630e-02;3.630e-02,0.3510;0.6490,0.5318;0.4682,s|1e1.1o1|1e2.1o1,2,3,0;0,chr6,-,111472140-111482750;111416472-111482750,111416283-111416472;111472013-111472140;111482750-111483229,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr6%3A111483229-111416283
ZNF207,ENSG00000010244.19,ENSG00000010244.19:s:32369599-32370451,0.1007;-0.0292;0.0387;-0.1009,5.001e-01;1.948e-01;1.545e-01;4.711e-01,7.664e-02;2.288e-01;2.808e-01;6.509e-02,0.0026;0.2536;0.0541;0.6786,0.1345;0.2021;0.1201;0.5422,s|1e1.1o1|2e1.1o1|3e1.1o1|i,4,2,0;0;1;0,chr17,+,32369745-32373399;32369782-32373399;32370082-32373399;32370452-32372894,32369599-32370451;32372895-32373457,32370452-32372894,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A32373457-32369599
STARD3NL,ENSG00000010270.14,ENSG00000010270.14:s:38178245-38178420,-0.1219;0.0000;-0.0000;0.0000;0.1218;0.0000,6.941e-01;6.708e-21;6.715e-21;6.708e-21;6.922e-01;6.708e-21,1.833e-02;1.000e+00;9.991e-01;1.000e+00;1.941e-02;1.000e+00,0.3021;0.0065;0.0246;0.0001;0.6516;0.0168,0.1739;0.0049;0.0231;0.0002;0.7793;0.0178,s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o1,6,7,0;0;0;0;0;1,chr7,+,38178420-38179090;38178420-38198211;38178420-38201714;38178420-38202070;38178420-38207447;38178420-38214357,38178245-38178420;38179090-38179145;38198211-38198365;38201714-38201966;38202070-38202197;38207447-38207729;38214357-38214434,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A38214434-38178245
IFFO1,ENSG00000010295.20,ENSG00000010295.20:s:6549756-6550467,0.1120;0.0044;-0.1511,5.609e-01;3.981e-04;7.435e-01,5.423e-02;8.458e-01;2.113e-02,0.1973;0.0016;0.8011,0.3234;0.0380;0.6449,s|1e1.1o2|1e1.2o2|1e2.2o2,3,3,0;1;0,chr12,-,6549484-6549756;6549481-6549756;6548825-6549756,6548668-6549265;6549476-6549484;6549756-6550467,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A6550467-6548668
IFFO1,ENSG00000010295.20,ENSG00000010295.20:t:6548668-6549265,0.0000;-0.1327;0.0528;0.0549,3.964e-09;6.589e-01;2.368e-01;2.153e-01,9.998e-01;3.435e-02;1.961e-01;2.215e-01,0.0011;0.7458;0.1871;0.0680,0.0064;0.5896;0.2507;0.1398,t|1e2.1o1|2e1.1o1|2e2.1o1|i,4,3,0;0;0;1,chr12,-,6548849-6549476;6548825-6549756;6548825-6549476;6549266-6549475,6548668-6549265;6549476-6549484;6549756-6550467,6549266-6549475,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A6550467-6548668
LRRC23,ENSG00000010626.15,ENSG00000010626.15:t:6906409-6906755,0.0003;-0.1467;0.1452,5.186e-05;7.203e-01;7.174e-01,9.297e-01;2.323e-02;2.371e-02,0.0225;0.6701;0.3071,0.0232;0.5082;0.4665,t|1e1.1o1|1e2.1o1|1e3.1o1,3,4,1;0;0,chr12,+,6904903-6906409;6905759-6906409;6905954-6906409,6904733-6904903;6905585-6905759;6905845-6905954;6906409-6906755,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A6906755-6904733
SCMH1,ENSG00000010803.16,ENSG00000010803.16:s:41159725-41159933,0.0928;-0.1333;0.0200,4.551e-01;6.678e-01;1.218e-01,8.063e-02;3.210e-02;3.224e-01,0.3162;0.3506;0.3350,0.4416;0.1953;0.3764,s|1e1.1o1|1e2.1o1|1e3.1o1,3,4,0;0;0,chr1,-,41152741-41159725;41151684-41159725;41143112-41159725,41142874-41143112;41151614-41151684;41152599-41152741;41159725-41159933,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A41159933-41142874
SCMH1,ENSG00000010803.16,ENSG00000010803.16:s:41160875-41160898,0.1095;-0.0032;-0.0092;-0.0810,5.712e-01;4.844e-03;5.485e-02;3.931e-01,5.320e-02;6.978e-01;4.625e-01;1.146e-01,0.2747;0.0906;0.2844;0.3438,0.4045;0.0812;0.2622;0.2472,s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1,4,5,0;1;0;0,chr1,-,41159933-41160875;41152741-41160875;41151684-41160875;41143112-41160875,41142874-41143112;41151614-41151684;41152599-41152741;41159725-41159933;41160875-41160898,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A41160898-41142874
FYN,ENSG00000010810.17,ENSG00000010810.17:s:111702416-111702986,0.1008;-0.0976;0.0000,5.278e-01;4.970e-01;6.708e-21,2.972e-02;3.915e-02;1.000e+00,0.8710;0.1252;0.0033,0.9707;0.0287;0.0005,s|1e1.1o1|1e2.1o1|1e3.1o1,3,4,0;0;0,chr6,-,111700268-111702885;111699670-111702885;111696456-111702885,111696277-111696815;111699515-111699670;111699935-111700268;111702416-111702986,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr6%3A111702986-111696277
MBTD1,ENSG00000011258.16,ENSG00000011258.16:t:51225008-51225224,0.0229;-0.1589;0.0815;0.0000;0.0165,6.840e-02;8.673e-01;4.129e-01;6.708e-21;6.320e-04,4.321e-01;6.770e-03;1.023e-01;1.000e+00;6.446e-01,0.0586;0.2927;0.6303;0.0005;0.0173,0.0944;0.1304;0.7274;0.0005;0.0550,t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|2e3.1o1,5,5,0;1;0;0;1,chr17,-,51225209-51260120;51225209-51259835;51225209-51259143;51225209-51256307;51225183-51259143,51225008-51225224;51256307-51256829;51259143-51259206;51259835-51260049;51260120-51260163,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A51260163-51225008
DPF1,ENSG00000011332.21,ENSG00000011332.21:t:38222548-38222708,-0.1606;-0.0000;0.1752;0.0112;-0.0000;-0.0000;-0.0210,7.103e-01;1.333e-07;7.555e-01;1.575e-02;1.333e-07;1.333e-07;3.589e-02,2.060e-02;9.998e-01;1.547e-02;6.586e-01;9.998e-01;9.998e-01;5.166e-01,0.7128;0.0014;0.2126;0.0014;0.0014;0.0014;0.0600,0.5272;0.0013;0.4241;0.0413;0.0013;0.0013;0.0103,t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o2|1e5.2o2|2e1.1o1,7,6,0;0;0;0;0;0;0,chr19,-,38222708-38229559;38222708-38227946;38222708-38224114;38222708-38223756;38222708-38223083;38222708-38222835;38222703-38229559,38222548-38222708;38222835-38223298;38223756-38223961;38224114-38224250;38227946-38228042;38229559-38229714,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A38229714-38222548
SYT7,ENSG00000011347.10,ENSG00000011347.10:s:61551384-61551463,0.1748;-0.1190;0.0010;-0.0652,8.893e-01;6.160e-01;9.463e-05;3.187e-01,4.358e-03;4.367e-02;9.562e-01;1.418e-01,0.0013;0.1927;0.0013;0.8046,0.2126;0.0579;0.0180;0.7166,s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1,4,5,1;0;0;0,chr11,-,61547620-61551384;61547308-61551384;61546255-61551384;61533124-61551384,61532989-61533124;61546031-61546255;61547177-61547308;61547530-61547620;61551384-61551463,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr11%3A61551463-61532989
SYT7,ENSG00000011347.10,ENSG00000011347.10:t:61532989-61533124,-0.0001;-0.1497;0.0018;0.1113;0.0062;0.0000,2.368e-07;7.297e-01;1.768e-04;5.682e-01;2.360e-03;3.002e-10,9.972e-01;2.194e-02;9.286e-01;5.414e-02;7.790e-01;1.000e+00,0.0113;0.8108;0.0009;0.1580;0.0196;0.0009,0.0011;0.6337;0.0240;0.2936;0.0423;0.0011,t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o1,6,7,1;0;1;0;0;0,chr11,-,61533124-61580790;61533124-61551384;61533124-61547530;61533124-61547177;61533124-61546031;61533124-61538144,61532989-61533124;61538144-61538266;61546031-61546255;61547177-61547308;61547530-61547620;61551384-61551463;61580790-61581148,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr11%3A61581148-61532989
SYT7,ENSG00000011347.10,ENSG00000011347.10:t:61547177-61547308,-0.7906;0.7902,1.000e+00;1.000e+00,4.410e-11;3.988e-11,0.9866;0.0134,0.1987;0.8013,t|1e1.1o1|1e2.1o1,2,3,0;1,chr11,-,61547308-61551384;61547308-61547530,61547177-61547308;61547530-61547620;61551384-61551463,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr11%3A61551463-61547177
WIZ,ENSG00000011451.21,ENSG00000011451.21:t:15436475-15437129,-0.1151;0.0035;0.1011,5.330e-01;2.003e-03;4.772e-01,5.077e-02;8.153e-01;6.573e-02,0.4835;0.0223;0.4889,0.3263;0.0327;0.6397,t|1e1.1o1|1e2.1o1|1e3.1o1,3,4,0;0;0,chr19,-,15437129-15448103;15437129-15442676;15437129-15438578,15436475-15437129;15438578-15440715;15442676-15442748;15448103-15448367,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A15448367-15436475
RABGAP1,ENSG00000011454.18,ENSG00000011454.18:t:122957011-122957209,0.0000;0.1209;-0.1311;-0.0000;0.0026,6.708e-21;6.099e-01;6.492e-01;3.351e-09;2.191e-04,1.000e+00;4.357e-02;3.509e-02;9.992e-01;8.992e-01,0.0007;0.2993;0.6792;0.0139;0.0090,0.0011;0.4417;0.5310;0.0011;0.0287,t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|2e3.1o1,5,5,0;1;0;0;0,chr9,+,122940897-122957011;122941088-122957011;122941093-122957011;122945432-122957011;122941093-122957149,122940833-122940897;122941020-122941088;122941090-122941093;122945332-122945432;122957011-122957209,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr9%3A122957209-122940833
QPCTL,ENSG00000011478.13,ENSG00000011478.13:t:45698480-45698699,0.0699;-0.1167;0.0173,2.524e-01;6.310e-01;2.213e-02,1.945e-01;4.027e-02;5.569e-01,0.0085;0.9690;0.0240,0.1043;0.8415;0.0538,t|1e1.1o1|1e2.1o1|i,3,3,0;0;1,chr19,+,45693556-45698547;45695718-45698547;45695719-45698479,45693413-45693556;45695401-45695718;45698480-45698699,45695719-45698479,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A45698699-45693413
GABRA3,ENSG00000011677.13,ENSG00000011677.13:t:152166234-152168563,-0.0226;-0.0799;0.1281,8.059e-02;3.683e-01;6.039e-01,3.993e-01;9.792e-02;4.115e-02,0.0836;0.8966;0.0186,0.0430;0.7803;0.1714,t|1e1.1o1|1e2.1o1|1e3.1o1,3,4,1;0;1,chrX,-,152168563-152197633;152168563-152189730;152168563-152171362,152166234-152168563;152171362-na;152189730-152189943;152197633-152197785,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chrX%3A152197785-152166234
MAP4K5,ENSG00000012983.12,ENSG00000012983.12:s:50440013-50440073,-0.4040;0.4040,1.000e+00;1.000e+00,7.327e-15;5.539e-15,0.9732;0.0268,0.5718;0.4282,s|1e1.1o1|1e2.1o1,2,3,0;1,chr14,-,50438094-50440013;50438008-50440013,50437894-50438008;50438092-50438401;50440013-50440073,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr14%3A50440073-50437894
