# {
#     "changing_threshold": 0.1,
#     "command": "/SAN/vyplab/alb_projects/pipelines/splicing/env/bin/voila tsv /SAN/vyplab/first_weeks/TDP_CHX_CLONES_GLIA/majiq/builder/splicegraph.sql /SAN/vyplab/first_weeks/TDP_CHX_CLONES_GLIA/majiq/delta_psi/Control6-TDP43KD6.deltapsi.voila -f /SAN/vyplab/first_weeks/TDP_CHX_CLONES_GLIA/majiq/delta_psi_voila_tsv/Control6-TDP43KD6.psi.tsv --threshold 0.1",
#     "group_sizes": {
#         "Control6": 4,
#         "TDP43KD6": 4
#     },
#     "non_changing_threshold": 0.05,
#     "voila_version": "2.3"
# }
gene_name	gene_id	lsv_id	mean_dpsi_per_lsv_junction	probability_changing	probability_non_changing	Control6_mean_psi	TDP43KD6_mean_psi	lsv_type	num_junctions	num_exons	de_novo_junctions	seqid	strand	junctions_coords	exons_coords	ir_coords	ucsc_lsv_link
EIPR1	ENSG00000032389.13	ENSG00000032389.13:s:3282470-3282826	0.1450;-0.1450	6.979e-01;6.979e-01	2.405e-02;2.405e-02	0.5992;0.4008	0.7615;0.2385	s|1e1.1o1|1e2.1o1	2	3	0;1	chr2	-	3257455-3282470;3214248-3282470	3214186-3214452;3257299-3257559;3282470-3282826		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr2%3A3282826-3214186
IFT88	ENSG00000032742.18	ENSG00000032742.18:t:20574380-20574475	0.1568;-0.1446;-0.0100	8.100e-01;7.817e-01;3.087e-02	1.233e-02;1.528e-02;5.501e-01	0.6648;0.2427;0.0903	0.8330;0.0915;0.0744	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;1	chr13	+	20567256-20574380;20567997-20574380;20573151-20574380	20567138-20567256;20567885-20567997;20573021-20573151;20574380-20574475		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr13%3A20574475-20567138
USP2	ENSG00000036672.16	ENSG00000036672.16:t:119360184-119360234	-0.0413;0.2719;-0.1836	1.770e-01;8.801e-01;6.873e-01	2.478e-01;3.643e-03;1.608e-02	0.1213;0.2647;0.6133	0.0494;0.5658;0.3760	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	chr11	-	119360234-119381473;119360234-119372707;119360234-119363849	119360184-119360234;119363849-119364207;119372707-119373521;119381473-119381711		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr11%3A119381711-119360184
MFAP3	ENSG00000037749.13	ENSG00000037749.13:t:154049557-154050017	-0.0085;0.1101;-0.0642;-0.0000;-0.0006	9.929e-02;5.652e-01;2.952e-01;3.278e-07;4.653e-06	3.591e-01;5.314e-02;1.588e-01;9.962e-01;9.742e-01	0.6286;0.0964;0.2327;0.0132;0.0226	0.6238;0.2264;0.1417;0.0070;0.0011	t|1e1.1o1|1e2.1o4|1e2.2o4|1e2.3o4|1e2.4o4	5	3	0;0;0;0;1	chr5	+	154039011-154049557;154039066-154049557;154039302-154049557;154039308-154049557;154039498-154049557	154038959-154039011;154039058-154039498;154049557-154050017		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr5%3A154050017-154038959
SLC66A1	ENSG00000040487.13	ENSG00000040487.13:s:19312729-19312889	0.1008;-0.1008	5.152e-01;5.152e-01	6.727e-02;6.727e-02	0.8123;0.1877	0.9275;0.0725	s|1e1.1o1|1e2.1o1	2	3	0;0	chr1	+	19312889-19317600;19312889-19324633	19312729-19312889;19317600-19317841;19324633-19324762		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A19324762-19312729
SLC66A1	ENSG00000040487.13	ENSG00000040487.13:t:19324633-19324762	-0.1044;0.1044	5.392e-01;5.392e-01	6.147e-02;6.147e-02	0.1915;0.8085	0.0639;0.9361	t|1e1.1o1|1e2.1o1	2	3	0;0	chr1	+	19312889-19324633;19317841-19324633	19312729-19312889;19317600-19317841;19324633-19324762		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A19324762-19312729
PARP3	ENSG00000041880.15	ENSG00000041880.15:s:51942345-51942708	-0.0313;0.1531;-0.0979	1.128e-01;6.280e-01;4.533e-01	3.369e-01;2.471e-02;5.887e-02	0.0832;0.2073;0.7122	0.0333;0.4201;0.5503	s|1e1.1o1|1e2.1o2|1e2.2o2	3	3	0;0;0	chr3	+	51942708-51942930;51942708-51943349;51942708-51943354	51942345-51942708;51942930-51943046;51943250-51943538		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A51943538-51942345
PARP3	ENSG00000041880.15	ENSG00000041880.15:t:51943250-51943538	0.0988;0.0310;-0.1445	4.679e-01;1.692e-01;6.052e-01	6.202e-02;2.550e-01;2.843e-02	0.1909;0.1425;0.6534	0.3499;0.2084;0.4530	t|1e1.1o1|1e2.1o1|2e1.1o1	3	3	0;0;0	chr3	+	51942708-51943349;51943046-51943349;51942708-51943354	51942345-51942708;51942930-51943046;51943250-51943538		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A51943538-51942345
TDP1	ENSG00000042088.14	ENSG00000042088.14:t:89963105-89963673	0.0223;0.1086;-0.1405;0.0000;0.0000	6.673e-02;5.767e-01;7.473e-01;6.541e-21;1.131e-08	4.275e-01;5.006e-02;2.027e-02;1.000e+00;9.977e-01	0.2481;0.0492;0.6864;0.0005;0.0137	0.2819;0.1628;0.5400;0.0007;0.0133	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|2e1.1o1	5	5	0;0;0;0;0	chr14	+	89955970-89963108;89956278-89963108;89956800-89963108;89958397-89963108;89955970-89963225	89955902-89955970;89955993-89956278;89956523-89957187;89958293-89958397;89963105-89963673		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr14%3A89963673-89955902
JADE2	ENSG00000043143.22	ENSG00000043143.22:s:134573645-134575737	0.1292;-0.0997;-0.0192;-0.0000	6.317e-01;5.087e-01;8.280e-02;6.791e-09	3.502e-02;6.730e-02;3.934e-01;9.999e-01	0.6315;0.2621;0.1114;0.0019	0.7883;0.1330;0.0755;0.0016	s|1e1.2o2|1e2.1o2|1e2.2o2|2e1.1o2	4	3	0;0;0;1	chr5	+	134573762-134576768;134573762-134578494;134573762-134578497;134575720-134576642	134573645-134575737;134576642-134577038;134578494-134583230		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr5%3A134583230-134573645
JADE2	ENSG00000043143.22	ENSG00000043143.22:t:134578494-134583230	-0.0267;-0.0660;0.0117;0.1037;0.0000	1.405e-01;3.279e-01;1.090e-01;5.156e-01;4.250e-07	2.930e-01;1.211e-01;3.429e-01;6.151e-02;9.995e-01	0.2822;0.4662;0.1224;0.1328;0.0017	0.2341;0.3603;0.1337;0.2854;0.0022	t|1e1.1o2|1e2.1o2|2e1.1o2|2e2.1o2|2e2.2o2	5	3	0;0;0;0;0	chr5	+	134573762-134578494;134576896-134578494;134573762-134578497;134576896-134578497;134577038-134578497	134573645-134575737;134576642-134577038;134578494-134583230		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr5%3A134583230-134573645
PHKA2	ENSG00000044446.12	ENSG00000044446.12:t:18897163-18898169	-0.1099;-0.0001;0.1000;0.0099	5.413e-01;6.178e-07;5.073e-01;6.612e-02	5.191e-02;9.961e-01;6.457e-02;4.359e-01	0.5082;0.0100;0.2423;0.2441	0.3707;0.0016;0.3679;0.2677	t|1e1.1o1|1e2.1o1|1e3.1o1|i	4	4	0;1;0;1	chrX	-	18897333-18901485;18897333-18900670;18897333-18899173;18898170-18899172	18897163-18898169;18899173-18899226;18900670-18900699;18901485-18901603	18898170-18899172	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chrX%3A18901603-18897163
WDR37	ENSG00000047056.16	ENSG00000047056.16:t:1103535-1103836	0.0006;0.0702;0.0099;-0.0000;0.0072;-0.1075	1.162e-03;3.380e-01;1.744e-01;7.380e-08;4.514e-03;4.857e-01	8.586e-01;1.320e-01;2.433e-01;9.998e-01;7.242e-01;5.805e-02	0.0190;0.0841;0.6016;0.0016;0.0156;0.2767	0.0251;0.1764;0.6220;0.0015;0.0470;0.1393	t|1e2.1o2|2e1.1o1|2e2.1o2|2e3.1o1|3e1.1o1|3e2.1o2	6	4	1;1;1;0;1;0	chr10	+	1096246-1103535;1086357-1103599;1096246-1103599;1102978-1103599;1086357-1103602;1096246-1103602	1086286-1086357;1096170-1096267;1102856-1102978;1103535-1103836		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr10%3A1103836-1086286
GOPC	ENSG00000047932.14	ENSG00000047932.14:s:117578900-117579064	0.1337;-0.1337	6.739e-01;6.739e-01	2.984e-02;2.984e-02	0.5743;0.4257	0.7383;0.2617	s|1e1.1o1|1e2.1o1	2	3	0;0	chr6	-	117577471-117578900;117575352-117578900	117575177-117575352;117577448-117577471;117578900-117579064		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr6%3A117579064-117575177
GOPC	ENSG00000047932.14	ENSG00000047932.14:t:117575177-117575352	-0.1329;0.1329	6.709e-01;6.709e-01	3.002e-02;3.002e-02	0.3839;0.6161	0.2263;0.7737	t|1e1.1o1|1e2.1o1	2	3	0;0	chr6	-	117575352-117578900;117575352-117577448	117575177-117575352;117577448-117577471;117578900-117579064		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr6%3A117579064-117575177
ZNF800	ENSG00000048405.10	ENSG00000048405.10:s:127373342-127373565	-0.1236;0.0551;0.0361	6.704e-01;2.698e-01;1.670e-01	3.334e-02;1.700e-01;2.655e-01	0.2439;0.4898;0.2622	0.1043;0.5717;0.3333	s|1e1.1o1|1e2.1o1|i	3	3	0;0;1	chr7	-	127371814-127373342;127348043-127373342;127371815-127373341	127346790-127348043;127370043-127371814;127373342-127373565	127371815-127373341	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A127373565-127346790
VPS13D	ENSG00000048707.15	ENSG00000048707.15:t:12341780-12341885	-0.0145;0.0254;0.0877;-0.1140	7.151e-02;4.502e-02;4.205e-01;5.338e-01	4.232e-01;4.737e-01;8.273e-02;4.952e-02	0.1489;0.0174;0.3847;0.4483	0.1269;0.0642;0.5060;0.2999	t|1e1.1o1|1e2.1o1|2e1.1o1|2e2.1o1	4	3	0;0;1;0	chr1	+	12335827-12341780;12338305-12341780;12335827-12341783;12338305-12341783	12335705-12337988;12338231-12338305;12341780-12341885		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A12341885-12335705
R3HDM1	ENSG00000048991.17	ENSG00000048991.17:s:135604856-135606676	0.0773;0.0331;-0.1226;0.0000	3.680e-01;3.409e-02;6.507e-01;6.541e-21	1.211e-01;4.683e-01;3.580e-02;1.000e+00	0.2774;0.0357;0.6861;0.0005	0.3754;0.0766;0.5520;0.0008	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	4	5	0;0;0;0	chr2	+	135605016-135616152;135605016-135616668;135605016-135621494;135605016-135631718	135604856-135606676;135616152-135616193;135616668-135616757;135621494-135621608;135631718-135631777		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr2%3A135631777-135604856
R3HDM1	ENSG00000048991.17	ENSG00000048991.17:t:135621494-135621608	0.0000;0.0000;-0.1467;0.1418;0.0008	6.541e-21;6.549e-21;7.892e-01;7.708e-01;2.039e-07	1.000e+00;9.991e-01;1.530e-02;1.765e-02;9.646e-01	0.0083;0.0174;0.5632;0.3860;0.0214	0.0050;0.0163;0.4091;0.5365;0.0287	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1	5	6	0;0;0;0;1	chr2	+	135531633-135621494;135602708-135621494;135605016-135621494;135616757-135621494;135619686-135621494	135531455-135531633;135602500-135602708;135604856-135606676;135616668-135616757;135619525-135619686;135621494-135621608		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr2%3A135621608-135531455
ERCC8	ENSG00000049167.16	ENSG00000049167.16:s:60916759-60918388	0.0000;0.1743;-0.1751;0.0000	6.541e-21;8.458e-01;8.480e-01;6.541e-21	1.000e+00;8.496e-03;8.292e-03;1.000e+00	0.0011;0.1381;0.8595;0.0011	0.0015;0.3279;0.6691;0.0015	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.2o2	4	5	0;0;0;0	chr5	-	60915286-60918265;60909957-60918265;60904873-60918265;60902508-60918265	60902442-60902520;60904788-60905537;60909340-60909957;60915186-60915286;60916759-60918388		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr5%3A60918388-60902442
H6PD	ENSG00000049239.13	ENSG00000049239.13:t:9244925-9245561	0.1779;0.0048;-0.0869;-0.0000;-0.0000;-0.0000;-0.0636	8.143e-01;9.643e-03;4.212e-01;2.481e-06;2.481e-06;2.481e-06;2.537e-01	1.067e-02;7.410e-01;9.917e-02;9.989e-01;9.989e-01;9.989e-01;1.955e-01	0.7216;0.0155;0.1407;0.0019;0.0019;0.0019;0.1072	0.9276;0.0327;0.0277;0.0017;0.0017;0.0017;0.0017	t|1e1.1o1|1e2.1o1|1e3.1o1|2e1.1o1|2e2.1o1|2e3.1o1|i	7	4	0;1;0;1;1;1;1	chr1	+	9235066-9244925;9237217-9244925;9240018-9244925;9235066-9244933;9237217-9244933;9240018-9244933;9240019-9244924	9234774-9235066;9237131-9237217;9239815-9240018;9244925-9245561	9240019-9244924	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A9245561-9234774
PER3	ENSG00000049246.15	ENSG00000049246.15:s:7787322-7788570	-0.1214;0.1214	5.882e-01;5.882e-01	4.195e-02;4.195e-02	0.7947;0.2053	0.6380;0.3620	s|1e1.1o2|1e1.2o2	2	2	0;0	chr1	+	7788246-7793957;7788246-7793960	7787322-7788570;7793957-7794008		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A7794008-7787322
PER3	ENSG00000049246.15	ENSG00000049246.15:s:7810438-7810588	-0.1033;0.1033	5.159e-01;5.159e-01	6.145e-02;6.145e-02	0.4785;0.5215	0.3462;0.6538	s|1e1.1o1|2e1.1o1	2	2	0;0	chr1	+	7810567-7819285;7810588-7819285	7810438-7810588;7819285-7819420		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A7819420-7810438
PER3	ENSG00000049246.15	ENSG00000049246.15:s:7827118-7827815	0.1238;-0.1238	6.667e-01;6.667e-01	3.311e-02;3.311e-02	0.5463;0.4537	0.6870;0.3130	s|1e1.1o2|1e1.2o2	2	2	0;0	chr1	+	7827815-7829834;7827815-7829837	7827118-7827815;7829834-7829957		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A7829957-7827118
PPP1R3F	ENSG00000049769.14	ENSG00000049769.14:s:49280776-49281461	-0.1650;0.1650	7.766e-01;7.766e-01	1.478e-02;1.478e-02	0.7391;0.2609	0.5362;0.4638	s|1e1.1o2|1e1.2o2	2	2	0;0	chrX	+	49281461-49281981;49281461-49281984	49280776-49281461;49281981-49282063		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chrX%3A49282063-49280776
PPP1R3F	ENSG00000049769.14	ENSG00000049769.14:s:49281981-49282063	-0.1346;0.1044;0.0028	6.725e-01;5.287e-01;3.701e-04	3.005e-02;6.052e-02;8.933e-01	0.8514;0.1463;0.0025	0.6918;0.2777;0.0299	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;1;0	chrX	+	49282063-49285834;49282063-49299276;49282063-49301351	49281981-49282063;49285834-49288090;49299276-49299435;49301351-49301461		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chrX%3A49301461-49281981
SLC4A8	ENSG00000050438.17	ENSG00000050438.17:s:51475045-51475206	-0.1044;0.1044	5.324e-01;5.324e-01	6.210e-02;6.210e-02	0.2372;0.7628	0.1118;0.8882	s|1e1.1o1|1e2.1o1	2	3	0;0	chr12	+	51475206-51479992;51475206-51485787	51475045-51475206;51479992-51480610;51485787-51485900		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A51485900-51475045
SLC4A8	ENSG00000050438.17	ENSG00000050438.17:s:51488699-51488860	0.1987;-0.1987	9.569e-01;9.569e-01	9.839e-04;9.839e-04	0.7442;0.2558	0.9518;0.0482	s|1e1.1o1|1e2.1o1	2	3	0;1	chr12	+	51488860-51489700;51488860-51493704	51488699-51488860;51489700-51489951;51493704-51493772		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A51493772-51488699
SLC4A8	ENSG00000050438.17	ENSG00000050438.17:t:51493704-51493772	-0.0135;-0.0790;0.1101	3.070e-03;3.483e-01;5.873e-01	6.612e-01;1.277e-01;4.796e-02	0.0493;0.1388;0.8092	0.0177;0.0461;0.9308	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	1;1;0	chr12	+	51485900-51493704;51488860-51493704;51489951-51493704	51485787-51485900;51488699-51488860;51489700-51489951;51493704-51493772		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A51493772-51485787
FAM160A2	ENSG00000051009.11	ENSG00000051009.11:s:6218558-6218763	0.1003;-0.1003	4.899e-01;4.899e-01	6.650e-02;6.650e-02	0.3531;0.6469	0.4726;0.5274	s|1e1.1o1|2e1.1o1	2	2	0;0	chr11	-	6218150-6218600;6218150-6218558	6216570-6218150;6218558-6218763		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr11%3A6218763-6216570
PIK3CB	ENSG00000051382.9	ENSG00000051382.9:s:138707159-138707621	0.1344;-0.1344	6.026e-01;6.026e-01	3.352e-02;3.352e-02	0.7344;0.2656	0.9230;0.0770	s|1e1.1o1|1e2.1o1	2	3	0;0	chr3	-	138704493-138707159;138699095-138707159	138698907-138699095;138704443-138704493;138707159-138707621		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A138707621-138698907
PIK3CB	ENSG00000051382.9	ENSG00000051382.9:t:138704443-138704493	-0.1500;0.1500	7.698e-01;7.698e-01	1.691e-02;1.690e-02	0.1955;0.8045	0.0108;0.9892	t|1e1.1o1|1e2.1o1	2	3	0;0	chr3	-	138704493-138712208;138704493-138707159	138704443-138704493;138707159-138707621;138712208-138712304		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A138712304-138704443
OPN3	ENSG00000054277.14	ENSG00000054277.14:s:241639882-241640369	-0.0000;0.0000;0.0027;0.0846;-0.1006	1.537e-10;6.541e-21;4.206e-06;4.208e-01;5.246e-01	9.982e-01;1.000e+00;8.939e-01;9.973e-02;6.653e-02	0.0186;0.0005;0.0201;0.3411;0.6248	0.0117;0.0048;0.0320;0.4435;0.5103	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1	5	6	1;0;1;0;0	chr1	-	241628493-241639882;241615936-241639882;241608380-241639882;241604579-241639882;241597997-241639882	241597746-241597997;241604260-241604579;241608246-241608380;241615854-241615936;241628409-241628493;241639882-241640369		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A241640369-241597746
SDCCAG8	ENSG00000054282.16	ENSG00000054282.16:s:243304713-243304777	0.1220;0.0001;-0.1260	6.064e-01;4.461e-07;6.188e-01	4.202e-02;9.961e-01;3.883e-02	0.2279;0.0052;0.7640	0.3726;0.0119;0.6185	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;1;0	chr1	+	243304777-243305012;243304777-243307787;243304777-243307989	243304713-243304777;243305012-243306548;243307784-243307883;243307989-243308177		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A243308177-243304713
SYNE2	ENSG00000054654.19	ENSG00000054654.19:s:63986456-63986617	0.1125;-0.1125	5.636e-01;5.636e-01	5.185e-02;5.185e-02	0.7941;0.2059	0.9252;0.0748	s|1e1.1o1|1e2.1o1	2	3	0;1	chr14	+	63986617-63990411;63986617-63990942	63986456-63986617;63990411-63990569;63990942-63991115		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr14%3A63991115-63986456
SYNE2	ENSG00000054654.19	ENSG00000054654.19:t:63990942-63991115	-0.1564;0.1564	8.126e-01;8.126e-01	1.184e-02;1.184e-02	0.2101;0.7899	0.0425;0.9575	t|1e1.1o1|1e2.1o1	2	3	1;0	chr14	+	63986617-63990942;63990569-63990942	63986456-63986617;63990411-63990569;63990942-63991115		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr14%3A63991115-63986456
SYNE2	ENSG00000054654.19	ENSG00000054654.19:t:64215432-64216424	-0.1082;0.1082	5.748e-01;5.748e-01	5.148e-02;5.148e-02	0.3466;0.6534	0.2275;0.7725	t|1e1.1o1|1e2.1o1	2	3	0;0	chr14	+	64214470-64216248;64215354-64216248	64214144-64214524;64215286-64215354;64215432-64216424		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr14%3A64216424-64214144
